Drew Brees,NO,2012.0,16.0,422.0,670.0,5177.0,43.0,19.0,15.0,5.0,1.0,364.6,22.8
Aaron Rodgers,GB,2012.0,16.0,372.0,553.0,4303.0,39.0,8.0,54.0,259.0,2.0,350.0,21.9
Tom Brady,NE,2012.0,16.0,401.0,638.0,4827.0,34.0,8.0,23.0,32.0,4.0,348.3,21.8
Cam Newton,CAR,2012.0,16.0,280.0,485.0,3869.0,19.0,12.0,127.0,741.0,8.0,334.9,20.9
Robert Griffin III,WAS,2012.0,15.0,259.0,394.0,3211.0,20.0,5.0,118.0,833.0,7.0,324.7,21.6
Peyton Manning,DEN,2012.0,16.0,400.0,583.0,4667.0,37.0,11.0,23.0,7.0,0.0,320.4,20.0
Matt Ryan,ATL,2012.0,16.0,422.0,615.0,4719.0,32.0,14.0,33.0,138.0,1.0,318.6,19.9
Andrew Luck,IND,2012.0,16.0,339.0,627.0,4374.0,23.0,18.0,62.0,255.0,5.0,294.5,18.4
Tony Romo,DAL,2012.0,16.0,425.0,648.0,4903.0,28.0,19.0,30.0,49.0,1.0,294.0,18.4
Matthew Stafford,DET,2012.0,16.0,435.0,727.0,4965.0,20.0,17.0,35.0,128.0,4.0,290.4,18.2
Russell Wilson,SEA,2012.0,16.0,252.0,393.0,3118.0,26.0,10.0,94.0,489.0,4.0,285.6,17.9
Andy Dalton,CIN,2012.0,16.0,329.0,529.0,3669.0,27.0,16.0,47.0,120.0,4.0,266.8,16.7
Josh Freeman,TB,2012.0,16.0,306.0,558.0,4065.0,27.0,17.0,40.0,135.0,0.0,263.1,16.4
Eli Manning,NYG,2012.0,16.0,321.0,536.0,3948.0,26.0,15.0,20.0,30.0,0.0,247.9,15.5
Joe Flacco,BAL,2012.0,16.0,317.0,531.0,3817.0,22.0,10.0,32.0,22.0,3.0,242.9,15.2
Sam Bradford,STL,2012.0,16.0,329.0,552.0,3702.0,21.0,13.0,38.0,128.0,1.0,235.9,14.7
Matt Schaub,HOU,2012.0,16.0,350.0,544.0,4008.0,22.0,12.0,21.0,-9.0,0.0,235.4,14.7
Carson Palmer,OAK,2012.0,15.0,345.0,565.0,4018.0,22.0,14.0,18.0,36.0,1.0,234.3,15.6
Ryan Fitzpatrick,BUF,2012.0,16.0,306.0,505.0,3400.0,24.0,16.0,49.0,201.0,1.0,230.1,14.4
Ben Roethlisberger,PIT,2012.0,13.0,284.0,449.0,3265.0,26.0,8.0,26.0,92.0,0.0,229.8,17.7
Philip Rivers,SD,2012.0,16.0,338.0,527.0,3607.0,26.0,15.0,27.0,40.0,0.0,223.3,14.0
Christian Ponder,MIN,2012.0,16.0,300.0,483.0,2935.0,18.0,12.0,61.0,246.0,2.0,204.0,12.8
Jay Cutler,CHI,2012.0,15.0,255.0,434.0,3033.0,19.0,14.0,40.0,233.0,0.0,198.6,13.2
Ryan Tannehill,MIA,2012.0,16.0,282.0,484.0,3294.0,12.0,13.0,49.0,197.0,2.0,190.5,11.9
Brandon Weeden,CLE,2012.0,15.0,297.0,517.0,3385.0,14.0,17.0,27.0,111.0,0.0,183.5,12.2
Colin Kaepernick,SF,2012.0,13.0,136.0,218.0,1809.0,10.0,3.0,63.0,417.0,5.0,177.1,13.6
Michael Vick,PHI,2012.0,10.0,204.0,351.0,2362.0,12.0,10.0,62.0,345.0,1.0,163.0,16.3
Jake Locker,TEN,2012.0,11.0,177.0,314.0,2176.0,10.0,11.0,41.0,291.0,1.0,143.1,13.0
Mark Sanchez,NYJ,2012.0,15.0,246.0,453.0,2883.0,13.0,18.0,22.0,28.0,0.0,136.1,9.1
