Aaron Rodgers,GB,2012.0,10.0,388.0,606.0,4844.0,41.0,10.0,60.0,277.0,3.0,387.5
Tom Brady,NE,2012.0,9.0,427.0,667.0,4936.0,37.0,11.0,27.0,53.0,1.0,341.7
Matthew Stafford,DET,2012.0,5.0,407.0,656.0,4852.0,36.0,15.0,39.0,114.0,1.0,336.5
Drew Brees,NO,2012.0,6.0,428.0,649.0,4932.0,36.0,17.0,18.0,44.0,0.0,326.7
Cam Newton,CAR,2012.0,6.0,310.0,508.0,3756.0,19.0,16.0,115.0,667.0,8.0,320.9
Michael Vick,PHI,2012.0,7.0,286.0,469.0,3752.0,23.0,15.0,87.0,636.0,5.0,312.7
Matt Ryan,ATL,2012.0,7.0,357.0,575.0,4257.0,31.0,14.0,31.0,102.0,1.0,294.5
Eli Manning,NYG,2012.0,11.0,379.0,642.0,4365.0,32.0,18.0,19.0,42.0,0.0,282.8
Philip Rivers,SD,2012.0,7.0,354.0,553.0,4537.0,28.0,15.0,30.0,42.0,0.0,274.7
Tony Romo,DAL,2012.0,5.0,343.0,544.0,4242.0,28.0,12.0,13.0,55.0,1.0,273.2
Peyton Manning,DEN,2012.0,7.0,374.0,575.0,4195.0,27.0,13.0,15.0,17.0,0.0,262.5
Ben Roethlisberger,PIT,2012.0,4.0,331.0,526.0,4156.0,26.0,16.0,31.0,90.0,1.0,257.2
Robert Griffin III,WAS,2012.0,10.0,297.0,530.0,3550.0,20.0,15.0,175.0,367.0,3.0,251.7
Ryan Fitzpatrick,BUF,2012.0,8.0,333.0,554.0,3769.0,23.0,17.0,47.0,256.0,1.0,251.4
Joe Flacco,BAL,2012.0,8.0,314.0,514.0,3755.0,23.0,11.0,34.0,74.0,1.0,240.6
Josh Freeman,TB,2012.0,5.0,307.0,496.0,3419.0,20.0,17.0,58.0,299.0,2.0,233.7
Carson Palmer,OAK,2012.0,5.0,299.0,482.0,3758.0,23.0,16.0,16.0,31.0,1.0,227.4
Christian Ponder,MIN,2012.0,11.0,298.0,480.0,3363.0,18.0,12.0,67.0,275.0,1.0,226.0
Jay Cutler,CHI,2012.0,6.0,287.0,463.0,3429.0,21.0,16.0,40.0,166.0,1.0,223.8
Alex Smith,SF,2012.0,9.0,316.0,544.0,3373.0,21.0,13.0,49.0,165.0,1.0,222.4
Andy Dalton,CIN,2012.0,8.0,303.0,531.0,3558.0,22.0,15.0,20.0,41.0,1.0,221.4
Matt Schaub,HOU,2012.0,8.0,308.0,481.0,3655.0,22.0,13.0,14.0,35.0,0.0,220.7
