Adrian Peterson,MIN,2012.0,16.0,348.0,2097.0,12.0,51.0,40.0,217.0,1.0,325.4,20.3
Doug Martin,TB,2012.0,16.0,319.0,1454.0,11.0,70.0,49.0,472.0,1.0,287.1,17.9
Arian Foster,HOU,2012.0,16.0,351.0,1411.0,15.0,58.0,40.0,217.0,2.0,280.8,17.6
Marshawn Lynch,SEA,2012.0,16.0,315.0,1590.0,11.0,30.0,23.0,196.0,1.0,258.1,16.1
Ray Rice,BAL,2012.0,16.0,257.0,1143.0,9.0,83.0,61.0,478.0,1.0,252.6,15.8
Alfred Morris,WAS,2012.0,16.0,335.0,1606.0,13.0,16.0,11.0,77.0,0.0,245.8,15.4
C.J. Spiller,BUF,2012.0,16.0,207.0,1244.0,6.0,57.0,43.0,459.0,2.0,233.8,14.6
Trent Richardson,CLE,2012.0,15.0,267.0,950.0,11.0,70.0,51.0,367.0,1.0,229.2,15.3
Jamaal Charles,KC,2012.0,16.0,284.0,1513.0,5.0,49.0,36.0,236.0,1.0,222.9,13.9
Frank Gore,SF,2012.0,16.0,259.0,1212.0,8.0,36.0,28.0,234.0,1.0,210.6,13.2
Stevan Ridley,NE,2012.0,16.0,290.0,1263.0,12.0,14.0,6.0,51.0,0.0,202.4,12.7
Matt Forte,CHI,2012.0,15.0,248.0,1094.0,5.0,60.0,44.0,340.0,1.0,199.4,13.3
Chris Johnson,TEN,2012.0,16.0,276.0,1243.0,6.0,49.0,36.0,226.0,0.0,192.9,12.1
Reggie Bush,MIA,2012.0,16.0,227.0,986.0,6.0,52.0,35.0,292.0,2.0,189.3,11.8
Steven Jackson,STL,2012.0,16.0,257.0,1042.0,4.0,53.0,38.0,321.0,0.0,179.3,11.2
Shonn Greene,NYJ,2012.0,16.0,276.0,1063.0,8.0,30.0,19.0,151.0,0.0,176.9,11.1
Darren Sproles,NO,2012.0,13.0,48.0,244.0,1.0,104.0,75.0,667.0,7.0,176.6,13.6
LeSean McCoy,PHI,2012.0,12.0,200.0,840.0,2.0,67.0,54.0,373.0,3.0,172.3,14.4
Ahmad Bradshaw,NYG,2012.0,14.0,221.0,1015.0,6.0,31.0,23.0,245.0,0.0,167.5,12.0
Michael Turner,ATL,2012.0,16.0,223.0,803.0,10.0,30.0,19.0,128.0,1.0,166.6,10.4
Mikel Leshoure,DET,2012.0,14.0,215.0,798.0,9.0,48.0,34.0,214.0,0.0,166.2,11.9
BenJarvus Green-Ellis,CIN,2012.0,15.0,278.0,1094.0,6.0,30.0,22.0,104.0,0.0,162.8,10.9
DeAngelo Williams,CAR,2012.0,16.0,173.0,737.0,5.0,20.0,13.0,187.0,2.0,136.9,8.6
