Jimmy Graham,NO,2012.0,6.0,105.0,1377.0,13.0,266.2
Rob Gronkowski,NE,2012.0,9.0,84.0,1156.0,12.0,227.6
Aaron Hernandez,NE,2012.0,9.0,76.0,875.0,8.0,173.5
Antonio Gates,SD,2012.0,7.0,69.0,885.0,8.0,169.0
Tony Gonzalez,ATL,2012.0,7.0,82.0,799.0,7.0,160.9
Jermichael Finley,GB,2012.0,10.0,67.0,845.0,7.0,160.0
Vernon Davis,SF,2012.0,9.0,68.0,845.0,7.0,158.5
Jason Witten,DAL,2012.0,5.0,79.0,875.0,5.0,155.0
Dustin Keller,NYJ,2012.0,9.0,70.0,807.0,7.0,153.7
Jared Cook,TEN,2012.0,11.0,69.0,866.0,6.0,153.1
Brandon Pettigrew,DET,2012.0,5.0,73.0,785.0,6.0,151.0
Brent Celek,PHI,2012.0,7.0,69.0,785.0,6.0,147.0
Fred Davis,WAS,2012.0,10.0,74.0,777.0,5.0,142.7
Jermaine Gresham,CIN,2012.0,8.0,66.0,695.0,5.0,130.5
Greg Olsen,CAR,2012.0,6.0,62.0,682.0,5.0,129.2
Owen Daniels,HOU,2012.0,8.0,60.0,735.0,4.0,127.5
Jacob Tamme,DEN,2012.0,7.0,62.0,656.0,5.0,126.6
Marcedes Lewis,JAC,2012.0,6.0,52.0,622.0,5.0,116.2
Ed Dickson,BAL,2012.0,8.0,57.0,612.0,4.0,113.7
Kyle Rudolph,MIN,2012.0,11.0,56.0,601.0,4.0,112.1
Coby Fleener,IND,2012.0,4.0,51.0,565.0,5.0,112.0
Anthony Fasano,MIA,2012.0,7.0,55.0,535.0,5.0,111.0
Martellus Bennett,NYG,2012.0,11.0,51.0,566.0,4.0,106.1
Lance Kendricks,STL,2012.0,9.0,49.0,564.0,4.0,102.9
Ben Watson,CLE,2012.0,10.0,50.0,530.0,4.0,102.0
Zach Miller,SEA,2012.0,11.0,45.0,514.0,4.0,95.9
Dallas Clark,TB,2012.0,5.0,47.0,525.0,3.0,94.0
Heath Miller,PIT,2012.0,4.0,41.0,475.0,4.0,92.0
Todd Heap,ARI,2012.0,10.0,43.0,512.0,3.0,90.7
Scott Chandler,BUF,2012.0,8.0,40.0,415.0,4.0,83.5
Tony Moeaki,KC,2012.0,7.0,42.0,459.0,3.0,82.9
Tony Scheffler,DET,2012.0,5.0,33.0,382.0,3.0,72.7
Dennis Pitta,BAL,2012.0,8.0,28.0,305.0,3.0,62.5
Kellen Davis,CHI,2012.0,6.0,30.0,355.0,2.0,62.5
Brandon Myers,OAK,2012.0,5.0,30.0,345.0,2.0,61.5
Robert Housler,ARI,2012.0,10.0,32.0,325.0,2.0,60.5
Jeremy Shockey,FA,2012.0,-,30.0,335.0,2.0,60.5
Joel Dreessen,DEN,2012.0,7.0,28.0,325.0,2.0,58.5
Kevin Boss,KC,2012.0,7.0,28.0,285.0,3.0,58.5
John Phillips,DAL,2012.0,5.0,24.0,250.0,2.0,47.0
Dwayne Allen,IND,2012.0,4.0,25.0,272.0,1.0,45.7
Delanie Walker,SF,2012.0,9.0,20.0,232.0,2.0,45.2
Jordan Cameron,CLE,2012.0,10.0,19.0,200.0,1.0,35.5
Niles Paul,WAS,2012.0,10.0,19.0,215.0,1.0,35.0
Luke Stocker,TB,2012.0,5.0,16.0,187.0,1.0,32.7
Anthony McCoy,SEA,2012.0,11.0,17.0,200.0,1.0,32.5
Randy McMichael,SD,2012.0,7.0,15.0,165.0,1.0,30.0
Clay Harbor,PHI,2012.0,7.0,17.0,176.0,0.0,26.1
Michael Egnew,MIA,2012.0,7.0,17.0,167.0,0.0,25.2
Travis Beckum,NYG,2012.0,11.0,11.0,115.0,1.0,23.0
Gary Barnidge,CAR,2012.0,6.0,14.0,150.0,0.0,22.0
John Carlson,MIN,2012.0,11.0,14.0,145.0,0.0,21.5
Jeff King,ARI,2012.0,10.0,10.0,100.0,1.0,21.0
Ladarius Green,SD,2012.0,7.0,7.0,78.0,1.0,17.3
Craig Stevens,TEN,2012.0,11.0,11.0,111.0,0.0,16.6
James Casey,HOU,2012.0,8.0,6.0,72.0,1.0,16.2
D.J. Williams,GB,2012.0,10.0,5.0,65.0,1.0,15.0
Evan Moore,SEA,2012.0,11.0,10.0,100.0,0.0,15.0
Matt Spaeth,CHI,2012.0,6.0,5.0,57.0,1.0,14.2
David Thomas,NO,2012.0,6.0,8.0,86.0,0.0,12.6
Donald Lee,CIN,2012.0,8.0,7.0,77.0,0.0,11.2
Michael Palmer,ATL,2012.0,7.0,8.0,77.0,0.0,9.7
Julius Thomas,DEN,2012.0,7.0,4.0,46.0,0.0,6.6
