Travis Kelce,KC,2016.0,16.0,117.0,85.0,1125.0,4.0,178.5,11.2
Kyle Rudolph,MIN,2016.0,16.0,132.0,83.0,840.0,7.0,167.5,10.5
Greg Olsen,CAR,2016.0,16.0,129.0,80.0,1073.0,3.0,165.3,10.3
Jimmy Graham,SEA,2016.0,16.0,95.0,65.0,923.0,6.0,156.8,9.8
Delanie Walker,TEN,2016.0,15.0,102.0,65.0,800.0,7.0,155.6,10.4
Zach Ertz,PHI,2016.0,14.0,106.0,78.0,816.0,4.0,144.6,10.3
Cameron Brate,TB,2016.0,15.0,82.0,57.0,660.0,8.0,142.5,9.5
Martellus Bennett,NE,2016.0,16.0,73.0,55.0,701.0,7.0,140.6,8.8
Jordan Reed,WAS,2016.0,12.0,89.0,66.0,686.0,6.0,135.6,11.3
Dennis Pitta,BAL,2016.0,16.0,121.0,86.0,729.0,2.0,125.9,7.9
Antonio Gates,SD,2016.0,14.0,93.0,53.0,548.0,7.0,121.3,8.7
Jason Witten,DAL,2016.0,16.0,95.0,69.0,673.0,3.0,117.8,7.4
Jack Doyle,IND,2016.0,16.0,75.0,59.0,584.0,5.0,115.9,7.2
Eric Ebron,DET,2016.0,13.0,85.0,61.0,711.0,1.0,113.7,8.7
Coby Fleener,NO,2016.0,16.0,82.0,50.0,631.0,3.0,112.3,7.0
Hunter Henry,SD,2016.0,13.0,53.0,36.0,482.0,8.0,112.2,8.6
Charles Clay,BUF,2016.0,15.0,87.0,57.0,552.0,4.0,107.7,7.2
C.J. Fiedorowicz,HOU,2016.0,15.0,89.0,54.0,559.0,4.0,106.9,7.1
Gary Barnidge,CLE,2016.0,16.0,81.0,55.0,612.0,2.0,100.7,6.3
Zach Miller,CHI,2016.0,10.0,64.0,47.0,486.0,4.0,96.1,9.6
Dwayne Allen,IND,2016.0,14.0,52.0,35.0,406.0,6.0,94.1,6.7
Vernon Davis,WAS,2016.0,15.0,59.0,44.0,583.0,2.0,92.3,6.2
Lance Kendricks,LAR,2016.0,16.0,87.0,50.0,499.0,2.0,84.9,5.3
Rob Gronkowski,NE,2016.0,8.0,38.0,25.0,540.0,3.0,84.5,10.6
Tyler Eifert,CIN,2016.0,8.0,47.0,29.0,394.0,5.0,83.9,10.5
Ryan Griffin,HOU,2016.0,16.0,74.0,50.0,442.0,2.0,79.2,5.0
Vance McDonald,SF,2016.0,10.0,45.0,24.0,391.0,4.0,75.1,7.5
Jesse James,PIT,2016.0,16.0,60.0,39.0,338.0,3.0,71.3,4.5
Clive Walford,OAK,2016.0,15.0,52.0,33.0,359.0,3.0,70.4,4.7
Jermaine Gresham,ARI,2016.0,16.0,61.0,37.0,390.0,2.0,69.5,4.3
Will Tye,NYG,2016.0,16.0,70.0,48.0,395.0,1.0,69.5,4.3
Julius Thomas,JAC,2016.0,9.0,51.0,30.0,281.0,4.0,67.1,7.5
Garrett Celek,SF,2016.0,13.0,51.0,29.0,350.0,3.0,65.5,5.0
Dion Sims,MIA,2016.0,13.0,35.0,26.0,256.0,4.0,62.6,4.8
Trey Burton,PHI,2016.0,14.0,60.0,37.0,327.0,1.0,57.2,4.1
Jared Cook,GB,2016.0,10.0,51.0,30.0,377.0,1.0,56.7,5.7
Austin Hooper,ATL,2016.0,11.0,27.0,19.0,271.0,3.0,54.6,5.0
Richard Rodgers,GB,2016.0,16.0,47.0,30.0,271.0,2.0,54.1,3.4
Jacob Tamme,ATL,2016.0,8.0,31.0,22.0,210.0,3.0,50.0,6.3
Ladarius Green,PIT,2016.0,6.0,34.0,18.0,304.0,1.0,45.4,7.6
Levine Toilolo,ATL,2016.0,13.0,19.0,13.0,264.0,2.0,44.9,3.5
Erik Swoope,IND,2016.0,9.0,22.0,15.0,297.0,1.0,43.2,4.8
C.J. Uzomah,CIN,2016.0,8.0,38.0,25.0,234.0,1.0,41.9,5.2
Virgil Green,DEN,2016.0,11.0,37.0,22.0,237.0,1.0,40.7,3.7
Mychal Rivera,OAK,2016.0,11.0,25.0,18.0,192.0,1.0,34.2,3.1
Marcedes Lewis,JAC,2016.0,10.0,30.0,20.0,169.0,1.0,32.9,3.3
Luke Willson,SEA,2016.0,10.0,21.0,15.0,129.0,2.0,32.4,3.2
Ben Koyack,JAC,2016.0,9.0,24.0,19.0,161.0,1.0,31.6,3.5
Seth Devalve,CLE,2016.0,8.0,13.0,10.0,127.0,2.0,29.7,3.7
Xavier Grimble,PIT,2016.0,8.0,21.0,11.0,118.0,2.0,29.3,3.7
Darren Fells,ARI,2016.0,9.0,18.0,14.0,154.0,1.0,28.4,3.2
Josh Hill,NO,2016.0,8.0,22.0,15.0,149.0,1.0,28.4,3.6
Austin Seferian-Jenkins,TB,2016.0,10.0,20.0,13.0,154.0,1.0,27.9,2.8
Demetrius Harris,KC,2016.0,13.0,31.0,17.0,123.0,1.0,26.8,2.1
Daniel Brown,CHI,2016.0,6.0,20.0,16.0,124.0,1.0,26.4,4.4
