Tyreek Hill,KC,2018.0,16.0,137.0,87.0,1479.0,12.0,22.0,151.0,1.0,284.5,17.8
DeAndre Hopkins,HOU,2018.0,16.0,163.0,115.0,1572.0,11.0,1.0,-7.0,0.0,276.0,17.3
Davante Adams,GB,2018.0,15.0,169.0,111.0,1386.0,13.0,0.0,0.0,0.0,272.1,18.1
Antonio Brown,PIT,2018.0,15.0,168.0,104.0,1297.0,15.0,0.0,0.0,0.0,271.7,18.1
Julio Jones,ATL,2018.0,16.0,170.0,113.0,1677.0,8.0,2.0,12.0,0.0,269.4,16.8
Michael Thomas,NO,2018.0,16.0,147.0,125.0,1405.0,9.0,0.0,0.0,0.0,253.0,15.8
Adam Thielen,MIN,2018.0,16.0,153.0,113.0,1373.0,9.0,5.0,30.0,0.0,248.8,15.6
Mike Evans,TB,2018.0,16.0,138.0,86.0,1524.0,8.0,0.0,0.0,0.0,241.4,15.1
JuJu Smith-Schuster,PIT,2018.0,16.0,166.0,111.0,1426.0,7.0,1.0,13.0,0.0,239.4,15.0
Robert Woods,LAR,2018.0,16.0,130.0,86.0,1219.0,6.0,19.0,157.0,1.0,222.6,13.9
Stefon Diggs,MIN,2018.0,15.0,149.0,102.0,1021.0,9.0,10.0,62.0,0.0,213.3,14.2
Keenan Allen,LAC,2018.0,15.0,136.0,97.0,1196.0,6.0,9.0,75.0,0.0,209.6,14.0
Brandin Cooks,LAR,2018.0,15.0,117.0,80.0,1204.0,5.0,10.0,68.0,1.0,203.2,13.5
T.Y. Hilton,IND,2018.0,14.0,120.0,76.0,1270.0,6.0,0.0,0.0,0.0,201.0,14.4
Tyler Lockett,SEA,2018.0,16.0,70.0,57.0,965.0,10.0,13.0,69.0,0.0,191.9,12.0
Tyler Boyd,CIN,2018.0,14.0,108.0,76.0,1028.0,7.0,2.0,3.0,0.0,183.1,13.1
Odell Beckham Jr,NYG,2018.0,12.0,124.0,77.0,1052.0,6.0,5.0,19.0,0.0,179.6,15.0
Amari Cooper,OAK,2018.0,15.0,107.0,75.0,1005.0,7.0,2.0,20.0,0.0,178.0,11.9
Calvin Ridley,ATL,2018.0,16.0,92.0,64.0,821.0,10.0,6.0,27.0,0.0,174.8,10.9
Kenny Golladay,DET,2018.0,15.0,119.0,70.0,1063.0,5.0,1.0,8.0,0.0,172.1,11.5
Jarvis Landry,CLE,2018.0,16.0,149.0,81.0,976.0,4.0,3.0,60.0,1.0,172.1,10.8
Julian Edelman,NE,2018.0,12.0,108.0,74.0,850.0,6.0,9.0,107.0,0.0,168.7,14.1
Emmanuel Sanders,DEN,2018.0,12.0,98.0,71.0,868.0,4.0,4.0,53.0,1.0,157.6,13.1
Mike Williams,LAC,2018.0,16.0,66.0,43.0,664.0,10.0,7.0,28.0,1.0,156.7,9.8
Chris Godwin,TB,2018.0,16.0,95.0,59.0,842.0,7.0,0.0,0.0,0.0,153.7,9.6
Alshon Jeffery,PHI,2018.0,13.0,92.0,65.0,843.0,6.0,0.0,0.0,0.0,152.8,11.8
Corey Davis,TEN,2018.0,16.0,112.0,65.0,891.0,4.0,6.0,55.0,0.0,151.1,9.4
Adam Humphries,TB,2018.0,16.0,105.0,76.0,816.0,5.0,2.0,11.0,0.0,150.7,9.4
Sterling Shepard,NYG,2018.0,16.0,107.0,66.0,872.0,4.0,3.0,33.0,0.0,147.5,9.2
Larry Fitzgerald,ARI,2018.0,16.0,112.0,69.0,734.0,6.0,0.0,0.0,0.0,143.9,9.0
Golden Tate,DET,2018.0,15.0,113.0,74.0,795.0,4.0,4.0,34.0,0.0,143.9,9.6
Mohamed Sanu,ATL,2018.0,16.0,94.0,66.0,838.0,4.0,7.0,44.0,0.0,143.2,9.0
Dede Westbrook,JAC,2018.0,16.0,101.0,66.0,717.0,5.0,9.0,98.0,0.0,140.5,8.8
Zay Jones,BUF,2018.0,16.0,102.0,56.0,652.0,7.0,1.0,0.0,0.0,135.2,8.5
Nelson Agholor,PHI,2018.0,16.0,97.0,64.0,736.0,4.0,3.0,32.0,0.0,132.8,8.3
Robby Anderson,NYJ,2018.0,14.0,94.0,50.0,752.0,6.0,2.0,-8.0,0.0,131.4,9.4
DeSean Jackson,TB,2018.0,12.0,74.0,41.0,774.0,4.0,6.0,29.0,1.0,130.8,10.9
D.J. Moore,CAR,2018.0,16.0,82.0,55.0,788.0,2.0,13.0,172.0,0.0,129.5,8.1
Demaryius Thomas,DEN,2018.0,15.0,89.0,59.0,677.0,5.0,0.0,0.0,0.0,127.2,8.5
A.J. Green,CIN,2018.0,9.0,77.0,46.0,694.0,6.0,0.0,0.0,0.0,126.4,14.0
Allen Robinson,CHI,2018.0,13.0,94.0,55.0,754.0,4.0,1.0,9.0,0.0,125.8,9.7
Jordy Nelson,OAK,2018.0,15.0,88.0,63.0,739.0,3.0,1.0,-2.0,0.0,123.2,8.2
John Brown,BAL,2018.0,16.0,97.0,42.0,715.0,5.0,3.0,4.0,0.0,122.9,7.7
Taylor Gabriel,CHI,2018.0,16.0,93.0,67.0,688.0,2.0,9.0,61.0,0.0,118.4,7.4
Josh Gordon,CLE,2018.0,12.0,71.0,41.0,737.0,4.0,0.0,0.0,0.0,118.2,9.9
Cole Beasley,DAL,2018.0,16.0,87.0,65.0,672.0,3.0,0.0,0.0,0.0,117.7,7.4
