,Player,Projection,My Computed Score
0,Patrick Mahomes,1.5615671488940017,1.9572885000254303
1,Deshaun Watson,1.377445970990012,2.462548856414178
2,Aaron Rodgers,1.3681625502553572,2.010816444320094
3,Lamar Jackson,1.1910039379023583,2.781806706286992
4,Matt Ryan,1.1824941355622582,1.6064082895086826
5,Carson Wentz,1.1600592021201752,1.7078860614910318
6,Drew Brees,1.1592855837256208,1.0785424386936169
7,Kyler Murray,1.155417491752848,2.0475065991889503
8,Jameis Winston,1.1283408479434378,1.2431385369021752
9,Cam Newton,1.1244727559706649,1.8330368875788665
10,Russell Wilson,1.1198310456033371,1.8716390747090934
11,Baker Mayfield,1.1113212432632371,1.2157302789841735
12,Dak Prescott,1.1051322961068004,1.6607667741242387
13,Mitchell Trubisky,1.1004905857394727,1.7264924004137658
14,Jared Goff,1.083470981059272,0.9652805644929923
15,Tom Brady,1.0625832844062986,0.875018418513879
16,Ben Roethlisberger,1.0563943372498619,0.9959550770658923
17,Philip Rivers,1.048658153304316,0.6461368375782857
18,Kirk Cousins,1.033959403807779,1.2159739697238814
19,Jacoby Brissett,0.9581448011414304,1.1221718836291603
20,Josh Allen,0.9318417757265745,1.8139028204043048
21,Matthew Stafford,0.8784621065023087,0.9935102269535108
22,Derek Carr,0.8250824372780426,0.49039571674567234
23,Andy Dalton,0.7693819128701131,0.8313037982140293
24,Marcus Mariota,0.7020771125438646,0.7518960666169905
25,Sam Darnold,0.6332250754285073,0.5558788161497875
26,Nick Foles,0.6154318523537519,0.3781952016085536
27,Eli Manning,0.6069220500136515,0.47640193940349124
28,Jimmy Garoppolo,0.5264657369799753,0.19057699175439113
29,Joe Flacco,0.5225976450072024,0.43353464331601776
30,Ryan Fitzpatrick,0.1133535142878302,0.010746951250676099
31,Dwayne Haskins,-0.007330955262684046,-0.32922428719120417
32,Josh Rosen,-0.5836766592058452,-0.5504173827573969
33,C.J. Beathard,-0.7012666551781412,-0.5403436328252239
34,Case Keenum,-0.7685714555043897,-0.5284628080780401
35,Drew Lock,-0.8474805317489565,-0.5248606312973741
36,Ryan Tannehill,-0.8846142146875764,-0.5168475684578152
37,Nate Sudfeld,-0.9217478976261962,-0.51647330122383
38,Daniel Jones,-0.9217478976261962,-0.5147549645078151
39,Will Grier,-0.9225215160207507,-0.5093858429354143
40,Taysom Hill,-0.9263896079935237,-0.2783153909384428
41,Chase Daniel,-0.9410883574900607,-0.5060850424053815
42,Colt McCoy,-0.9503717782247156,-0.506285079695141
43,Gardner Minshew,-0.9511453966192701,-0.5125798432281448
44,Jeff Driskel,-0.9673913829049162,-0.4999461317433876
45,Blaine Gabbert,-0.9759011852450167,-0.5041609689430061
46,Matt Barkley,-1.0037514474489817,-0.5003787527206965
47,Trevor Siemian,-1.0076195394217544,-0.49610203231750705
48,Taylor Heinicke,-1.0114876313945274,-0.49636868935729844
49,Chad Kelly,-1.0153557233673003,-0.494985448194681
50,Blake Bortles,-1.0316017096529464,-0.49286569796084545
51,Robert Griffin III,-1.0377906568093829,-0.49343419407223377
52,AJ McCarron,-1.0385642752039377,-0.4928420207289382
53,Teddy Bridgewater,-1.0393378935984923,-0.493860871515151
54,Cooper Rush,-1.061772827040575,-0.4795412483949583
55,Brett Hundley,-1.0648673006187932,-0.47876399877453285
56,Chad Henne,-1.0749243397480028,-0.4782273107669053
57,DeShone Kizer,-1.0795660501153301,-0.48548205263860394
58,Mike Glennon,-1.083434142088103,-0.4787378464020691
59,Tyrod Taylor,-1.091170326033649,-0.4754642474652176
60,Drew Stanton,-1.0958120364009762,-0.47903358964711334
61,Matt Schaub,-1.102000983557413,-0.47864775710529806
62,Connor Cook,-1.1027746019519675,-0.4785253917133591
