,Player,Projection,My Computed Score
0,Todd Gurley,318.7,244.17916906103372
1,David Johnson,311.2,256.7447547974005
2,Le'Veon Bell,290.1,234.55088036259247
3,Ezekiel Elliott,267.0,207.51263045775542
4,Alvin Kamara,257.3,186.4634689073217
5,Melvin Gordon,245.4,193.99765492788583
6,Kareem Hunt,237.2,195.60654367239493
7,Leonard Fournette,230.3,186.1069844945772
8,Christian McCaffrey,223.4,164.17987636349295
9,Dalvin Cook,220.9,169.46324715562932
10,Saquon Barkley,220.9,172.66928725339005
11,Joe Mixon,212.8,169.97273058783966
12,Devonta Freeman,211.2,164.20733451320189
13,Jordan Howard,186.3,138.63452326473362
14,Alex Collins,184.8,143.31404059765308
15,Jay Ajayi,180.8,140.6673904960704
16,Lamar Miller,177.4,134.70796113336164
17,Rex Burkhead,158.8,107.76702212703813
18,Derrick Henry,157.6,112.80300233026702
19,Dion Lewis,157.5,112.40657458157574
20,Tevin Coleman,149.8,103.96052899241575
21,Marshawn Lynch,149.0,112.4014058396029
22,Kenyan Drake,149.0,113.72673355467278
23,Royce Freeman,147.5,109.11600573021573
24,LeSean McCoy,144.6,110.1860690901106
25,Duke Johnson,144.6,113.65385494596404
26,Marlon Mack,143.6,106.53460253837723
27,Peyton Barber,141.2,102.65540643618705
28,Isaiah Crowell,140.6,100.77238669519078
29,Chris Thompson,139.7,103.11441044310304
30,Mark Ingram,138.7,95.07430259693437
31,Devontae Booker,133.7,101.81323961840141
32,James White,128.7,96.92792972225317
33,Kerryon Johnson,127.9,97.57451459385491
34,Carlos Hyde,127.8,93.84579110101747
35,Bilal Powell,127.6,94.85682441915908
36,Javorius Allen,123.8,92.77754280881436
37,Jamaal Williams,122.9,91.93401569377369
38,Matt Breida,122.9,91.63541316588089
39,Chris Ivory,121.0,89.53442145135497
40,Giovani Bernard,118.5,93.28138688595841
41,Alfred Morris,117.6,85.14733354486839
42,Chris Carson,115.5,86.63283941020231
43,Tarik Cohen,112.8,93.19056598838407
44,Frank Gore,112.2,87.4540774728365
45,Theo Riddick,111.1,91.35929217210271
46,Ty Montgomery,106.7,83.93066844558275
47,Latavius Murray,99.7,76.49664013064444
48,Corey Clement,98.7,78.0939334927127
49,Austin Ekeler,96.0,79.35428252672843
50,Sony Michel,95.5,76.89881273501501
51,Doug Martin,94.1,80.08826736632574
52,Rashaad Penny,93.6,79.35828698185016
53,Wayne Gallman,92.0,76.80760761294388
54,Adrian Peterson,88.2,71.92284994396198
55,T.J. Yeldon,87.5,73.70651590540074
56,Samaje Perine,83.9,71.51815187310956
57,Ronald Jones,81.6,69.93699991280589
58,Darren Sproles,79.4,73.48118097192757
59,Nick Chubb,79.1,66.69361821035476
60,Rod Smith,76.3,68.04297541669753
61,Corey Grant,76.1,68.90574232894726
62,C.J. Anderson,74.0,64.0335338568718
63,D'Onta Foreman,71.2,65.28826531393244
64,Jalen Richard,67.6,68.09309665543184
65,Aaron Jones,63.4,61.92864405976368
66,Nyheim Hines,61.7,63.385205645590744
67,LeGarrette Blount,60.8,56.02958655738772
68,Chase Edmonds,58.1,64.69114943982106
69,Jordan Wilkins,55.4,58.76833289671643
70,Spencer Ware,55.1,58.7119335196805
71,Kyle Juszczyk,51.2,64.92772027304889
72,Malcolm Brown,46.9,58.090027617165084
73,Jonathan Stewart,45.2,52.11014738314842
74,Robert Turbin,37.7,54.459669092917764
75,Jacquizz Rodgers,36.9,54.85431946327394
76,Mike Gillislee,35.4,51.44921446257219
77,Kenneth Dixon,35.2,52.098339604062716
78,Rob Kelley,33.7,50.22513546906903
79,Alfred Blue,33.5,51.95009450655601
80,Mike Davis,32.5,51.9334791176826
81,Jeremy Hill,30.1,48.93709773883318
82,James Conner,28.7,49.77699067822198
83,Elijah McGuire,27.5,53.662739854932056
84,Damien Williams,23.4,49.7445648460232
85,J.D. McKissic,22.7,53.10021642154147
86,Mark Walton,22.6,53.03793469409515
87,Cameron Artis-Payne,21.9,48.62661927074114
88,John Kelly,21.5,49.530619512080236
89,Kalen Ballage,20.3,48.121403105040265
90,Jaylen Samuels,19.1,51.33269832146328
91,Ito Smith,19.1,49.36264327660166
92,Alex Armah,18.0,50.596990888281404
93,Boston Scott,16.7,46.84519292476644
94,Marcus Murphy,13.7,48.495751469656376
95,Anthony Sherman,10.7,49.09795456074137
96,T.J. Logan,9.2,47.579807557211915
97,Wendell Smallwood,9.0,47.14659284986002
98,Stevan Ridley,8.7,46.33635534648306
99,David Fluellen,7.6,46.547165039466
100,Derek Watt,6.6,47.87176902901166
101,C.J. Prosise,6.3,46.668397780740065
102,Paul Perkins,6.2,46.67346242084951
103,Nick Bawden,6.1,48.61219675165015
104,Trey Edmunds,5.1,48.695092866653994
105,Tyler Ervin,4.9,46.71482473062326
106,DeAndre Washington,4.5,46.266337984306475
107,Senorise Perry,3.3,46.15327312929497
108,Ameer Abdullah,2.0,46.071512218208035
109,C.J. Ham,1.1,45.7812897964862
