,Player,Projection,My Computed Score
0,Rob Gronkowski,206.5,242.08581948542866
1,Travis Kelce,189.1,233.54209853068457
2,Zach Ertz,158.0,210.26108440564653
3,Evan Engram,131.6,197.25135094447234
4,Delanie Walker,129.8,196.97883147263752
5,Jimmy Graham,119.6,181.59779702963243
6,Trey Burton,119.0,192.9514885389437
7,Jack Doyle,117.5,188.184744523719
8,Kyle Rudolph,117.4,184.41553349744845
9,Greg Olsen,115.6,192.5028733396748
10,David Njoku,107.5,187.888676538309
11,Vance McDonald,105.1,185.53486523437311
12,Charles Clay,104.0,184.62549862696727
13,George Kittle,103.3,182.20106495864619
14,Eric Ebron,100.5,182.17874801104955
15,Jared Cook,100.0,185.1921719764097
16,Cameron Brate,96.1,181.86576117717527
17,Austin Hooper,94.5,181.7999232415371
18,Jordan Reed,92.5,185.68956302725888
19,O.J. Howard,89.5,180.61965986112907
20,Tyler Eifert,87.5,178.18731086434477
21,Ricky Seals-Jones,87.1,178.32180561578178
22,Nick Vannett,83.9,178.1263835149856
23,Antonio Gates,83.6,175.35512542544257
24,Mike Gesicki,79.7,176.30929201764195
25,Ben Watson,79.7,175.52774344031945
26,Austin Seferian-Jenkins,78.1,177.973182743268
27,Vernon Davis,76.9,176.65190474083357
28,Jake Butt,69.6,171.30598749378112
29,Garrett Celek,63.6,172.40144545351984
30,Hayden Hurst,62.0,169.43742111593204
31,Luke Willson,61.1,168.6472543243099
32,Nick Boyle,60.0,168.4699908049769
33,Tyler Higbee,58.0,167.94708108517588
34,Dallas Goedert,57.0,167.08496263902848
35,Blake Jarwin,55.5,166.7779819417688
36,Ryan Griffin,54.1,165.57101611716232
37,Chris Herndon,54.0,165.48480427254765
38,Marcedes Lewis,53.0,161.64111551522316
39,Tyler Kroft,49.6,163.21803923636517
40,Jonnu Smith,48.3,162.65288441851706
41,Gerald Everett,46.0,160.90201156156883
42,Levine Toilolo,43.0,162.33284426129592
43,Jordan Akins,43.0,162.33284426129592
44,Jesse James,41.0,161.68197313685653
45,Virgil Green,40.5,160.87903118577432
46,Logan Thomas,40.5,162.58629563903398
47,Jermaine Gresham,37.5,160.32821538636244
48,Adam Shaheen,36.0,159.66568460787136
49,Jordan Leggett,33.9,158.57827308983678
50,Jeff Heuerman,32.8,158.59866720807491
51,Demetrius Harris,32.7,158.12818268111707
52,Josh Hill,32.2,158.17175694227353
53,Dwayne Allen,30.0,154.78848866049597
54,Will Dissly,29.5,156.35930416723656
55,Seth Devalve,29.1,156.4777348287002
56,James O'Shaughnessy,28.0,155.7965607760117
57,Lance Kendricks,27.6,155.91499143747527
58,Ian Thomas,26.0,155.2903231323696
59,David Morgan,24.2,154.91416111725383
60,Geoff Swaim,23.9,154.7330886846469
61,Ed Dickson,23.5,154.12915382760966
62,Erik Swoope,21.0,153.43977199974537
63,A.J. Derby,19.1,152.69423913026853
64,Logan Paulsen,18.5,152.70012718927939
65,Richard Rodgers,18.4,152.64021612297887
66,Maxx Williams,17.8,154.35176137888743
67,Jerell Adams,14.8,153.73508153232967
68,Rico Gathers,14.1,151.0266287025057
69,C.J. Uzomah,12.7,152.48597633935606
70,Tyler Conklin,12.1,152.85877894395026
71,Dalton Schultz,11.2,152.28375008217978
72,Michael Roberts,11.2,152.28375008217978
73,Lee Smith,8.0,150.96892469588332
74,Rhett Ellison,6.1,150.11708457271902
75,Daniel Brown,5.4,150.0482717959574
