,Player,Projection,My Computed Score
0,Antonio Brown,247.1,230.04750359497953
1,DeAndre Hopkins,238.6,212.26564153031939
2,Julio Jones,233.7,250.80975172040073
3,Odell Beckham Jr.,229.1,214.52468260619733
4,Michael Thomas,209.3,195.82385317787543
5,Davante Adams,207.1,184.47750856776787
6,Keenan Allen,201.6,197.51445303693455
7,A.J. Green,194.1,177.12164738910948
8,Tyreek Hill,193.0,170.46044414691613
9,Mike Evans,187.2,173.78121050166294
10,Doug Baldwin,186.6,167.32036055310192
11,Amari Cooper,186.6,170.71075449095014
12,Golden Tate,182.4,169.41489705477298
13,Stefon Diggs,181.6,167.5002483352285
14,Larry Fitzgerald,178.9,156.38245199836163
15,Demaryius Thomas,177.2,158.91962010381332
16,Allen Robinson,174.8,150.78615317023977
17,T.Y. Hilton,171.5,171.82855148105895
18,JuJu Smith-Schuster,170.5,145.65693493880954
19,Michael Crabtree,160.8,131.8485357435571
20,Chris Hogan,158.0,136.40987287320416
21,Marquise Goodwin,157.6,135.65767995622912
22,Adam Thielen,157.0,144.08060183761373
23,Robby Anderson,155.3,129.3667311736938
24,Devin Funchess,154.0,127.92503789854014
25,Brandin Cooks,148.8,124.0237632283351
26,Marvin Jones,148.5,124.8834655211301
27,Jarvis Landry,148.5,123.65610390482782
28,Emmanuel Sanders,146.0,123.11563776783356
29,Randall Cobb,145.7,104.22530766996125
30,Kenny Stills,142.5,122.58499464875699
31,Pierre Garcon,141.2,113.8430789630535
32,Cooper Kupp,141.2,114.65404947865795
33,Jamison Crowder,140.8,116.92178928730833
34,Corey Davis,138.1,109.01151633932683
35,Keelan Cole,135.2,113.49610743747265
36,Nelson Agholor,135.0,100.93119504758573
37,Josh Gordon,134.5,114.03102122037748
38,Sammy Watkins,133.4,107.04654477647138
39,Robert Woods,133.0,107.01779139647962
40,Danny Amendola,130.4,106.52447569911688
41,Dede Westbrook,129.5,106.91653622733631
42,Alshon Jeffery,128.6,100.9234727650575
43,Jordy Nelson,127.0,93.85804753678704
44,Julian Edelman,124.3,97.30893342494974
45,Mohamed Sanu,123.2,91.60894716380876
46,Tyrell Williams,123.0,95.47959261414441
47,Tyler Lockett,122.7,89.03978447519049
48,Allen Hurns,118.8,92.65751125658348
49,DeSean Jackson,118.2,87.49229918323375
50,DeVante Parker,115.7,90.40278537136844
51,Kelvin Benjamin,114.0,86.62002386873597
52,Josh Doctson,113.5,80.45790382060979
53,Will Fuller,113.1,83.4307732129305
54,Ted Ginn Jr.,113.0,87.18300050797494
55,Sterling Shepard,110.3,80.70758375545732
56,John Ross,105.8,71.16354870844847
57,Mike Williams,102.8,68.33612233902905
58,Kenny Golladay,102.2,71.7206004094691
59,Cameron Meredith,94.5,65.30882938441451
60,Jermaine Kearse,93.5,70.19956664407533
61,Geronimo Allison,91.0,61.68693357626929
62,Chris Godwin,90.7,72.59697111460844
63,John Brown,87.3,64.22686285127563
64,Donte Moncrief,87.0,62.37942294893726
65,Brandon Marshall,84.6,55.781304731954414
66,Terrance Williams,84.0,59.86751227913854
67,Calvin Ridley,81.0,54.29431927656019
68,Courtland Sutton,80.6,57.422170776711795
69,Quincy Enunwa,80.1,57.334396074816134
70,Rishard Matthews,80.0,57.21898728176562
71,Anthony Miller,79.1,55.69512639991555
72,Zay Jones,79.0,55.12386164925358
73,Mike Wallace,78.0,55.891983676027984
74,Michael Gallup,77.9,54.82776170970589
75,Ryan Grant,77.8,54.717164289106414
76,Travis Benjamin,76.6,55.74760425272743
77,James Washington,76.2,53.4636914664577
78,Seth Roberts,74.4,54.24036511712428
79,Trent Taylor,73.4,53.21263943313613
80,Willie Snead,73.0,54.49864597736806
