Jason Witten,DAL,2010.0,16.0,128.0,94.0,1002.0,9.0,199.2,12.5
Antonio Gates,SD,2010.0,10.0,65.0,50.0,782.0,10.0,163.2,16.3
Vernon Davis,SF,2010.0,16.0,93.0,56.0,914.0,7.0,161.4,10.1
Marcedes Lewis,JAC,2010.0,16.0,88.0,58.0,700.0,10.0,155.0,9.7
Chris Cooley,WAS,2010.0,16.0,126.0,77.0,849.0,3.0,139.4,8.7
Tony Gonzalez,ATL,2010.0,16.0,109.0,70.0,656.0,6.0,136.6,8.5
Kellen Winslow,TB,2010.0,16.0,98.0,66.0,730.0,5.0,136.0,8.5
Rob Gronkowski,NE,2010.0,16.0,59.0,42.0,546.0,10.0,133.6,8.4
Brandon Pettigrew,DET,2010.0,16.0,111.0,71.0,722.0,4.0,131.7,8.2
Zach Miller,OAK,2010.0,15.0,92.0,60.0,685.0,5.0,128.5,8.6
Ben Watson,CLE,2010.0,16.0,102.0,68.0,763.0,3.0,128.2,8.0
Dustin Keller,NYJ,2010.0,16.0,101.0,55.0,687.0,5.0,126.2,7.9
Jacob Tamme,IND,2010.0,16.0,93.0,67.0,631.0,4.0,120.6,7.5
Aaron Hernandez,NE,2010.0,14.0,64.0,45.0,563.0,6.0,119.5,8.5
Todd Heap,BAL,2010.0,13.0,64.0,40.0,599.0,5.0,109.9,8.5
Kevin Boss,NYG,2010.0,15.0,70.0,35.0,531.0,5.0,98.6,6.6
Tony Moeaki,KC,2010.0,15.0,73.0,47.0,556.0,3.0,97.1,6.5
Anthony Fasano,MIA,2010.0,15.0,60.0,39.0,528.0,4.0,96.3,6.4
Brent Celek,PHI,2010.0,16.0,80.0,42.0,511.0,4.0,96.1,6.0
Jermaine Gresham,CIN,2010.0,15.0,83.0,52.0,471.0,4.0,95.1,6.3
Joel Dreessen,HOU,2010.0,16.0,55.0,36.0,517.0,4.0,91.7,5.7
Greg Olsen,CHI,2010.0,16.0,69.0,41.0,404.0,5.0,88.9,5.6
Visanthe Shiancoe,MIN,2010.0,16.0,80.0,47.0,531.0,2.0,88.6,5.5
Heath Miller,PIT,2010.0,14.0,67.0,42.0,512.0,2.0,82.2,5.9
Jimmy Graham,NO,2010.0,15.0,44.0,31.0,356.0,5.0,81.4,5.4
Jeremy Shockey,NO,2010.0,13.0,59.0,41.0,409.0,3.0,79.4,6.1
Owen Daniels,HOU,2010.0,11.0,68.0,38.0,471.0,2.0,78.1,7.1
Bo Scaife,TEN,2010.0,14.0,52.0,36.0,318.0,4.0,71.8,5.1
Daniel Fells,STL,2010.0,16.0,65.0,41.0,391.0,2.0,71.6,4.5
Dallas Clark,IND,2010.0,6.0,53.0,37.0,347.0,3.0,71.2,11.9
Tony Scheffler,DET,2010.0,15.0,72.0,45.0,378.0,1.0,64.3,4.3
Fred Davis,WAS,2010.0,16.0,31.0,21.0,316.0,3.0,60.1,3.8
Jared Cook,TEN,2010.0,16.0,45.0,29.0,361.0,1.0,56.6,3.5
John Carlson,SEA,2010.0,15.0,58.0,31.0,318.0,1.0,53.3,3.6
David Thomas,NO,2010.0,13.0,46.0,30.0,219.0,2.0,48.9,3.8
Delanie Walker,SF,2010.0,14.0,45.0,29.0,331.0,0.0,47.4,3.4
Jermichael Finley,GB,2010.0,5.0,26.0,21.0,301.0,1.0,46.6,9.3
Evan Moore,CLE,2010.0,12.0,26.0,16.0,322.0,1.0,44.2,3.7
Randy McMichael,SD,2010.0,16.0,27.0,20.0,221.0,2.0,44.1,2.8
Martellus Bennett,DAL,2010.0,16.0,48.0,33.0,260.0,0.0,42.5,2.7
Dante Rosario,CAR,2010.0,16.0,58.0,32.0,264.0,0.0,42.2,2.6
Michael Hoomanawanui,STL,2010.0,8.0,22.0,13.0,146.0,3.0,39.1,4.9
Zach Miller,JAC,2010.0,15.0,26.0,20.0,216.0,1.0,38.5,2.6
Andrew Quarless,GB,2010.0,13.0,33.0,21.0,238.0,1.0,38.3,2.9
Jeff King,CAR,2010.0,16.0,32.0,19.0,121.0,2.0,33.6,2.1
Billy Bajema,STL,2010.0,13.0,24.0,14.0,145.0,2.0,33.5,2.6
Travis Beckum,NYG,2010.0,16.0,18.0,13.0,116.0,2.0,30.1,1.9
Craig Stevens,TEN,2010.0,15.0,23.0,11.0,122.0,2.0,29.7,2.0
Donald Lee,GB,2010.0,15.0,12.0,11.0,73.0,3.0,28.8,1.9
John Gilmore,TB,2010.0,16.0,18.0,13.0,160.0,1.0,28.5,1.8
Ed Dickson,BAL,2010.0,15.0,23.0,11.0,152.0,1.0,26.7,1.8
Leonard Pope,KC,2010.0,16.0,19.0,10.0,76.0,2.0,24.6,1.5
Daniel Graham,DEN,2010.0,16.0,37.0,18.0,148.0,0.0,23.8,1.5
Jim Kleinsasser,MIN,2010.0,16.0,21.0,17.0,148.0,0.0,23.3,1.5
Chris Baker,SEA,2010.0,16.0,19.0,9.0,116.0,1.0,22.1,1.4
Justin Peelle,ATL,2010.0,13.0,15.0,10.0,96.0,1.0,20.6,1.6
Alge Crumpler,NE,2010.0,16.0,10.0,6.0,52.0,2.0,20.2,1.3
Ben Patrick,ARI,2010.0,15.0,18.0,15.0,123.0,0.0,19.8,1.3
Matt Spaeth,PIT,2010.0,14.0,18.0,9.0,80.0,1.0,18.5,1.3
Clay Harbor,PHI,2010.0,9.0,15.0,9.0,72.0,1.0,17.7,2.0
Jonathan Stupar,BUF,2010.0,16.0,13.0,12.0,111.0,0.0,17.1,1.1
Cameron Morrah,SEA,2010.0,15.0,18.0,9.0,117.0,0.0,16.2,1.1
Robert Royal,CLE,2010.0,15.0,12.0,5.0,56.0,1.0,14.1,0.9
Brandon Myers,OAK,2010.0,15.0,16.0,12.0,80.0,0.0,14.0,0.9
James Casey,HOU,2010.0,16.0,14.0,8.0,98.0,0.0,13.8,0.9
David Martin,BUF,2010.0,15.0,8.0,7.0,43.0,1.0,13.8,0.9
Brandon Manumaleuna,CHI,2010.0,16.0,7.0,5.0,43.0,1.0,12.8,0.8
Will Heller,DET,2010.0,16.0,5.0,4.0,37.0,1.0,11.7,0.7
Bear Pascoe,NYG,2010.0,15.0,13.0,9.0,72.0,0.0,11.7,0.8
Michael Palmer,ATL,2010.0,14.0,8.0,5.0,29.0,1.0,11.4,0.8
Dan Gronkowski,DEN,2010.0,12.0,13.0,8.0,64.0,0.0,10.4,0.9
Kory Sperry,SD,2010.0,7.0,4.0,4.0,73.0,0.0,9.3,1.3
Reggie Kelly,CIN,2010.0,16.0,13.0,10.0,42.0,0.0,9.2,0.6
Gijon Robinson,IND,2010.0,11.0,7.0,3.0,12.0,1.0,8.7,0.8
Kellen Davis,CHI,2010.0,16.0,2.0,1.0,19.0,1.0,8.4,0.5
Kris Wilson,SD,2010.0,14.0,9.0,6.0,73.0,0.0,8.3,0.6
Tom Crabtree,GB,2010.0,16.0,7.0,4.0,61.0,0.0,8.1,0.5
Logan Paulsen,WAS,2010.0,10.0,2.0,2.0,10.0,1.0,8.0,0.8
Stephen Spach,ARI,2010.0,15.0,17.0,7.0,40.0,0.0,7.5,0.5
David Johnson,PIT,2010.0,16.0,6.0,4.0,46.0,0.0,6.6,0.4
Brody Eldridge,IND,2010.0,14.0,9.0,5.0,39.0,0.0,6.4,0.5
Ryan Purvis,TB,2010.0,10.0,6.0,5.0,38.0,0.0,6.3,0.6
Jim Dray,ARI,2010.0,16.0,9.0,3.0,47.0,0.0,6.2,0.4
Jerramy Stevens,TB,2010.0,5.0,5.0,3.0,43.0,0.0,5.8,1.2
Mickey Shuler,MIA,2010.0,5.0,5.0,2.0,44.0,0.0,5.4,1.1
Nate Byham,SF,2010.0,14.0,7.0,5.0,27.0,0.0,5.2,0.4
Jeff Dugan,MIN,2010.0,16.0,5.0,4.0,30.0,0.0,5.2,0.3
Jake O'Connell,KC,2010.0,15.0,4.0,3.0,31.0,0.0,4.6,0.3
Chase Coffman,CIN,2010.0,6.0,5.0,3.0,30.0,0.0,4.5,0.8
Zach Potter,JAC,2010.0,12.0,8.0,3.0,24.0,0.0,3.9,0.3
Garrett Mills,PHI,2010.0,7.0,3.0,2.0,19.0,0.0,2.9,0.4
Fendi Onobun,STL,2010.0,3.0,4.0,2.0,15.0,0.0,2.5,0.8
Shawn Nelson,BUF,2010.0,5.0,4.0,3.0,25.0,0.0,2.0,0.4
Desmond Clark,CHI,2010.0,5.0,2.0,1.0,12.0,0.0,1.7,0.3
Tory Humphrey,NO,2010.0,6.0,2.0,1.0,12.0,0.0,1.7,0.3
Richard Quinn,DEN,2010.0,14.0,2.0,1.0,9.0,0.0,1.4,0.1
Scott Chandler,DAL,2010.0,14.0,3.0,1.0,8.0,0.0,1.3,0.1
Ben Hartsock,NYJ,2010.0,16.0,3.0,1.0,7.0,0.0,1.2,0.1
Alex Smith,CLE,2010.0,3.0,1.0,1.0,6.0,0.0,1.1,0.4
Jeff Cumberland,NYJ,2010.0,1.0,2.0,1.0,3.0,0.0,0.8,0.8
Ernest Wilford,JAC,2010.0,2.0,2.0,1.0,3.0,0.0,0.8,0.4
Dennis Pitta,BAL,2010.0,11.0,5.0,1.0,1.0,0.0,0.6,0.1
Jake Ballard,NYG,2010.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Gary Barnidge,CAR,2010.0,16.0,9.0,0.0,0.0,0.0,0.0,0.0
Colin Cloherty,SF,2010.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Daniel Coats,CIN,2010.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0
Dorin Dickerson,HOU,2010.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0
