Jamaal Charles,KC,2015.0,9.0,224.0,1165.0,10.0,49.0,377.0,3.0,252.7
Marshawn Lynch,SEA,2015.0,9.0,273.0,1229.0,11.0,37.0,304.0,2.0,247.8
Eddie Lacy,GB,2015.0,7.0,263.0,1156.0,10.0,49.0,377.0,2.0,245.8
Adrian Peterson,MIN,2015.0,5.0,270.0,1295.0,12.0,35.0,232.0,1.0,244.2
Le'Veon Bell,PIT,2015.0,11.0,227.0,1045.0,8.0,63.0,515.0,2.0,243.5
Matt Forte,CHI,2015.0,7.0,257.0,1079.0,7.0,62.0,485.0,2.0,239.4
DeMarco Murray,PHI,2015.0,8.0,278.0,1277.0,9.0,42.0,287.0,1.0,231.4
C.J. Anderson,DEN,2015.0,7.0,259.0,1165.0,9.0,46.0,346.0,1.0,230.1
Justin Forsett,BAL,2015.0,9.0,209.0,1045.0,7.0,60.0,414.0,1.0,219.9
Jeremy Hill,CIN,2015.0,7.0,241.0,1135.0,8.0,32.0,236.0,1.0,205.1
Mark Ingram,NO,2015.0,11.0,254.0,1116.0,9.0,28.0,175.0,0.0,197.1
Lamar Miller,MIA,2015.0,5.0,219.0,1031.0,7.0,35.0,236.0,1.0,190.2
LeSean McCoy,BUF,2015.0,8.0,246.0,1033.0,7.0,34.0,245.0,1.0,188.8
Frank Gore,IND,2015.0,10.0,211.0,885.0,8.0,35.0,275.0,1.0,185.5
Melvin Gordon,SD,2015.0,10.0,223.0,1026.0,6.0,27.0,209.0,1.0,177.0
Andre Ellington,ARI,2015.0,9.0,167.0,767.0,4.0,47.0,385.0,2.0,174.7
Latavius Murray,OAK,2015.0,6.0,205.0,965.0,6.0,28.0,225.0,1.0,173.0
Carlos Hyde,SF,2015.0,10.0,223.0,957.0,7.0,26.0,175.0,0.0,168.2
Jonathan Stewart,CAR,2015.0,5.0,202.0,887.0,6.0,28.0,209.0,1.0,163.6
Giovani Bernard,CIN,2015.0,7.0,143.0,587.0,4.0,51.0,411.0,2.0,161.3
Ameer Abdullah,DET,2015.0,9.0,158.0,678.0,5.0,42.0,299.0,2.0,160.7
T.J. Yeldon,JAC,2015.0,8.0,197.0,845.0,5.0,31.0,227.0,1.0,158.7
