Player,Projection,My Computed Score
Josh Allen,381.1,612.2501065294143
Patrick Mahomes,378.3,666.5094017416507
Jalen Hurts,361.2,536.4166064522823
Lamar Jackson,345.2,520.9129020035259
Joe Burrow,335.6,635.766446239187
Justin Fields,327.3,471.28316489999725
Justin Herbert,319.6,631.7919548612333
Geno Smith,306.5,588.4751531858825
Daniel Jones,296.2,479.8675386539102
Kirk Cousins,293.8,603.4311292248435
Trevor Lawrence,293.6,565.4318194055486
Deshaun Watson,281.5,522.4370586583325
Dak Prescott,280.9,568.9349980533163
Aaron Rodgers,271.3,569.1871089397739
Jared Goff,265.9,569.7562530192264
Tua Tagovailoa,265.5,543.1046656019
Anthony Richardson,263.4,413.8727021668649
Russell Wilson,254.8,510.0077987828818
Jordan Love,237.7,506.2042109254197
Brock Purdy,237.5,486.74769657706065
Kenny Pickett,237.5,468.4799361487027
Matthew Stafford,234.8,536.2589986679052
Jimmy Garoppolo,232.6,516.1907176102185
Derek Carr,232.3,508.32647606091723
C.J. Stroud,215.0,464.39102950926156
Bryce Young,213.1,474.1253134993931
Ryan Tannehill,200.0,442.2131589311807
Mac Jones,195.0,449.22992368298765
Sam Howell,194.8,408.1223547057693
Kyler Murray,181.4,318.6880797623827
Desmond Ridder,163.6,369.69231201492266
Baker Mayfield,149.2,327.34388169956463
Jacoby Brissett,81.2,142.053001243934
Joshua Dobbs,79.4,146.29784833253262
Kyle Trask,78.6,176.7400803058437
Taylor Heinicke,55.8,109.7769593501751
Will Levis,42.2,92.24896011240305
Bailey Zappe,39.0,86.69074445469053
Sam Darnold,36.9,79.60175075890692
Brian Hoyer,36.7,73.60619354926332
Mitchell Trubisky,33.4,72.85662924120112
Marcus Mariota,31.3,58.22807698662661
Mike White,30.8,65.07046725822042
Jarrett Stidham,30.4,64.30246646068878
Gardner Minshew,30.1,64.23360356026254
Tyler Huntley,25.4,50.05050649711797
Stetson Bennett,24.1,49.88939422982768
Dorian Thompson-Robinson,24.0,49.22220819434939
Clayton Tune,22.8,59.22687333487618
Andy Dalton,21.9,49.166347306930604
Tyson Bagent,21.8,46.81997666525647
Easton Stick,19.6,37.983058268442655
Davis Mills,17.6,48.36769986933362
Blaine Gabbert,15.2,38.22778659744872
Cooper Rush,13.8,31.11263545298438
Hendon Hooker,13.7,29.924556599884337
Nick Mullens,13.6,34.293021312066024
Zach Wilson,13.6,33.540373906034716
Tyrod Taylor,12.8,26.046489386349744
Jameis Winston,12.7,31.438899532396693
Kyle Allen,12.6,30.653219507757242
Drew Lock,12.2,24.49112549683539
C.J. Beathard,11.5,25.568360984994175
Sean Clifford,8.3,17.719060200131374
Nate Sudfeld,0.0,-0.08379031473501444
