Player,Projection,My Computed Score
Christian McCaffrey,287.4,397.45885146271826
Austin Ekeler,272.3,340.5789997713166
Tony Pollard,243.7,320.89252056941024
Nick Chubb,237.1,325.34008073972353
Derrick Henry,236.2,332.5838006710389
Saquon Barkley,228.6,316.0476640826451
Bijan Robinson,227.4,312.6501840332987
Josh Jacobs,225.9,306.91352240670926
Aaron Jones,216.5,307.9281491806527
Najee Harris,208.8,295.8776982821964
Rhamondre Stevenson,204.4,285.06612050795826
Kenneth Walker,194.7,266.6264354285714
Alexander Mattison,192.3,260.20047040618493
Joe Mixon,190.3,264.10197830879696
Travis Etienne,189.5,271.6997239752647
Jahmyr Gibbs,186.0,256.25816638235966
Breece Hall,183.7,252.490578982665
James Conner,181.3,251.28571269449793
Alvin Kamara,177.7,258.6118324752043
J.K. Dobbins,175.2,224.03638482461093
Rachaad White,173.7,258.95013760032424
Miles Sanders,173.5,254.15612507231265
Dameon Pierce,173.3,258.3876942966407
Cam Akers,166.5,242.96390805603139
Samaje Perine,165.9,232.73890551723503
D'Andre Swift,164.8,214.64872916253032
Isiah Pacheco,164.2,232.35029488756788
AJ Dillon,157.1,215.7224795362194
James Cook,156.1,220.97001895119143
Jonathan Taylor,156.0,217.75377580483917
David Montgomery,151.7,206.50295454050234
Antonio Gibson,143.4,200.9443343981551
Javonte Williams,138.8,195.58970518323716
Raheem Mostert,135.7,194.9948014231632
Khalil Herbert,129.1,187.64564798089896
Rashaad Penny,127.4,177.9065989818938
Brian Robinson Jr.,123.5,185.80796489957854
Dalvin Cook,116.3,161.5079509491705
Jamaal Williams,114.7,163.99418259888753
Jerick McKinnon,113.6,151.75741864066146
De'Von Achane,105.0,141.73035664524207
Elijah Mitchell,102.2,143.42260503434173
Devin Singletary,101.1,151.9160661730975
Leonard Fournette,98.0,140.97039343208067
Cordarrelle Patterson,97.8,136.4407326238511
Ezekiel Elliott,96.4,129.03727501098996
Damien Harris,93.5,128.69819145309808
Zach Charbonnet,93.0,133.7517575403471
Gus Edwards,90.5,126.8421401358747
D'Onta Foreman,89.2,131.2602083759915
Jaylen Warren,87.8,124.60675532826806
Tyler Allgeier,87.0,134.2156454942687
Joshua Kelley,86.5,113.79183709205672
Chuba Hubbard,86.4,123.26860479772631
Chase Edmonds,80.9,111.50706108757353
Tank Bigsby,80.2,113.31165118809145
Tyjae Spears,77.5,109.31020970290027
Jeff Wilson,75.6,100.6190996257123
Jerome Ford,73.4,109.84596019771813
Clyde Edwards-Helaire,72.3,99.82298182376866
Kenneth Gainwell,68.0,89.84623952195469
Deuce Vaughn,67.5,86.0481844434234
Kyren Williams,66.9,100.54914432307966
Chase Brown,62.4,84.49356860733195
Michael Carter,60.4,82.33883907946199
Kendre Miller,55.8,79.08374066353383
Roschon Johnson,53.0,78.33865534458336
Keaontay Ingram,52.2,75.9122718912158
Matt Breida,52.1,80.48192436475304
Zamir White,51.9,76.35163138360792
Ameer Abdullah,51.6,84.95885816921492
Deon Jackson,47.4,68.52604188218638
Ty Chandler,42.5,65.93113407212131
Rico Dowdle,39.5,53.71574428517822
Isaiah Spiller,37.8,55.68959677560244
Sean Tucker,37.7,60.39987974146847
Zach Evans,37.0,57.075154704742886
Mike Boone,36.0,53.093977946991274
DeeJay Dallas,34.9,51.81831471645795
Ronald Jones,34.4,47.29461292390326
Trayveon Williams,32.2,49.40274036324075
Pierre Strong Jr.,32.1,46.222642447010976
Evan Hull,32.1,48.57074582962156
Zack Moss,31.1,46.82432682860007
Chris Evans,31.0,47.07848052779232
Anthony McFarland Jr.,30.3,44.41069133008061
Israel Abanikanda,30.1,45.746030858361976
Ke'Shawn Vaughn,29.8,41.8983746000676
D'Ernest Johnson,27.9,40.5448911287596
Jordan Mason,27.4,40.310804135507325
Jaleel McLaughlin,26.3,37.284570711249515
Kene Nwangwu,24.3,33.597741195928684
Justice Hill,24.0,38.21192345726619
Latavius Murray,23.6,33.02529326581412
Boston Scott,22.4,30.318058778143406
Chris Rodriguez Jr.,17.5,31.989261023631098
Eric Gray,17.1,24.53129798588987
