Player,Projection,My Computed Score
Travis Kelce,202.2,264.58999834816154
Mark Andrews,167.2,219.7173517572726
T.J. Hockenson,165.2,217.92423813512514
George Kittle,143.9,191.06423160522942
Darren Waller,140.8,193.3111510741468
Kyle Pitts,140.2,192.87413951225736
Tyler Higbee,121.9,159.56931508647068
Dallas Goedert,117.3,161.48207867239623
Evan Engram,116.1,163.5114015234282
Pat Freiermuth,115.7,155.20187291004626
Cole Kmet,113.6,142.96768027617298
David Njoku,111.8,144.08375678231877
Chigoziem Okonkwo,105.5,141.8228398775974
Dalton Schultz,104.5,133.84689959876607
Noah Fant,103.4,132.33278273070877
Greg Dulcich,103.1,135.50041436731917
Gerald Everett,99.3,125.99060791017794
Sam LaPorta,99.1,128.7850499901691
Jake Ferguson,98.3,123.74082763972928
Tyler Conklin,97.6,130.6529381768236
Dalton Kincaid,97.5,127.70485199998778
Dawson Knox,94.2,119.3199356780709
Juwan Johnson,86.5,118.94928109828005
Hayden Hurst,85.9,112.95962064645914
Hunter Henry,83.0,112.17799877342216
Michael Mayer,82.8,108.86722609637701
Cade Otton,80.2,103.97843882264668
Logan Thomas,79.4,110.68077108307813
Luke Musgrave,79.2,103.64994141107049
Irv Smith,77.7,101.2359124348337
Taysom Hill,75.1,30.069810196509295
Trey McBride,72.5,89.53705502850062
Mike Gesicki,68.5,94.76584474991522
Zach Ertz,64.4,85.56944640428178
Jelani Woods,60.5,86.49751393984603
Adam Trautman,55.3,71.79946845482185
Will Dissly,51.7,66.58218376951534
Durham Smythe,48.9,61.2434404416953
Austin Hooper,48.0,61.13992105716396
Jonnu Smith,48.0,61.13992105716396
Isaiah Likely,48.0,61.13992105716396
Noah Gray,47.4,59.79005289489475
C.J. Uzomah,46.5,58.72589208092718
Jordan Akins,45.8,57.151045891613116
Darnell Washington,40.7,59.659268285180744
Robert Tonyan,39.8,47.49492998666605
Donald Parham,36.8,42.66687203419249
Daniel Bellinger,33.5,45.6419292893019
Ian Thomas,33.5,44.69586295586232
Colby Parkinson,32.8,45.89794990095855
Kylen Granson,32.1,43.449576265964595
Peyton Hendershot,30.6,41.033050431428904
Tucker Kraft,29.5,38.56714950824704
Mo Alie-Cox,27.0,34.85496189516744
Hunter Long,27.0,34.85496189516744
Brevin Jordan,25.4,32.21426324943342
Brock Wright,24.1,30.250089530351534
Ko Kieft,23.3,28.45270054770764
Harrison Bryant,23.2,29.185928716383973
Foster Moreau,23.2,29.185928716383973
Luke Schoonmaker,22.6,27.83606055411477
Brenton Strange,22.6,27.83606055411477
Jack Stoll,22.0,26.48619239184556
Josh Oliver,20.5,32.47153531515818
James Mitchell,19.2,22.10809049346176
Drew Sample,18.1,20.59397362540446
Jeremy Ruckert,13.3,21.097806116860347
Tommy Tremble,11.2,18.245734166047136
Teagan Quitoriano,11.2,18.245734166047136
Charlie Kolar,10.0,15.634319199114946
Quintin Morris,7.7,12.347011420479705
Johnny Mundt,6.2,9.94169483247353
