Player,Projection,My Computed Score
Tyreek Hill,281.1,697.0144559167537
CeeDee Lamb,274.8,649.7814876383385
Ja'Marr Chase,241.0,596.3531980606987
Amon-Ra St. Brown,239.1,594.733488030895
Justin Jefferson,237.5,619.904247841835
A.J. Brown,222.4,570.319924607539
Puka Nacua,222.0,543.8175785304916
Davante Adams,209.3,542.3602850603891
Garrett Wilson,207.0,513.4926109132713
Mike Evans,203.4,509.51537710778643
Chris Olave,202.7,521.9308050339582
Drake London,198.3,502.84071556802377
Deebo Samuel,195.3,422.5361191414185
DeVonta Smith,194.6,489.60373263039804
Brandon Aiyuk,193.6,493.28004905990866
Michael Pittman Jr.,188.3,488.7964505226673
Marvin Harrison Jr.,187.4,489.565053378695
Rashee Rice,187.3,446.9195745121983
Malik Nabers,186.5,488.9646623241494
DK Metcalf,186.0,479.39706948662706
George Pickens,185.9,479.13077271235414
Nico Collins,185.0,470.8587460062788
Jaylen Waddle,184.4,476.5960507382443
Cooper Kupp,183.4,448.5519937240654
Zay Flowers,182.8,430.1854356614014
Stefon Diggs,181.7,459.33604110736087
Amari Cooper,179.1,465.38818274253873
Tee Higgins,179.0,448.38188050510735
Chris Godwin,178.0,461.2032824496871
D.J. Moore,176.2,448.4286968453743
Christian Kirk,174.1,469.63355754920775
Calvin Ridley,173.9,452.22920031453475
Terry McLaurin,167.5,440.2952061836428
Diontae Johnson,166.6,418.6134120079639
Tank Dell,165.3,399.8481837377528
Jaxon Smith-Njigba,162.8,411.1492575910842
Courtland Sutton,158.4,393.4281620357229
Jayden Reed,158.1,349.2693602194239
Jordan Addison,152.0,372.4257980932021
DeAndre Hopkins,151.5,388.53482230749836
Keenan Allen,147.0,366.14919155068134
Xavier Worthy,144.8,345.13663045205755
Christian Watson,137.7,329.81842825832786
Ladd McConkey,137.2,340.5592694638323
Jameson Williams,135.3,329.7855411743565
Josh Palmer,135.3,338.96043235749966
Brandin Cooks,135.2,317.4809742391246
Rome Odunze,132.1,347.30407556690085
Jakobi Meyers,131.8,320.55535157309885
Rashid Shaheed,131.7,337.64759994397184
Khalil Shakir,130.0,341.9270245454557
Marquise Brown,129.9,318.9565144667661
Jerry Jeudy,128.9,334.56631565516864
Tyler Lockett,128.7,329.29704977974166
Keon Coleman,126.0,328.98692857641953
Romeo Doubs,123.9,295.0732146322683
Demario Douglas,123.9,321.4045321436953
Adam Thielen,123.6,308.9962449204185
Darnell Mooney,123.2,322.3145445345976
Brian Thomas Jr.,120.2,305.89973873640497
Gabe Davis,115.5,297.6285175882502
Curtis Samuel,114.8,265.86866994493806
Ja'Lynn Polk,110.2,291.6487980143189
Kendrick Bourne,109.8,287.07447410472315
Demarcus Robinson,105.4,279.9974179482934
Josh Downs,102.2,261.2954501953029
Mike Williams,101.6,251.24518473355076
Michael Wilson,100.3,265.66082093022845
Wan'Dale Robinson,98.9,239.77992629847134
Darius Slayton,96.1,256.3977708476527
Marvin Mims,94.7,222.15190365234307
Elijah Moore,94.2,236.9063102175452
Jalen Tolbert,93.8,241.2782980698369
Rashod Bateman,93.0,238.09385809190385
D.J. Chark,91.4,237.689185977296
Adonai Mitchell,85.3,216.38993506618564
Dontayvion Wicks,84.3,215.39148901439845
Andrei Iosivas,83.2,208.0307801241114
Josh Reynolds,81.5,205.73700105194737
Tyler Boyd,80.5,195.79224323827276
Greg Dortch,79.6,202.29249979800534
Xavier Legette,79.5,214.38414834730446
Dyami Brown,79.3,198.470843072946
